Actual GrossWeight,Predicted GrossWeight
30.95000076,29.870941
8.8,8.649456
9.2,7.47332
8.8,8.973455
12.5,11.150666
7.75,8.12245
16.25,17.24545
8.100000381,8.193927
10.75,10.598451
12.85,10.727843
7.7,7.729929
20.75,24.3834
15.4,13.704179
5.85,5.9362063
9.85,9.468157
15.7,14.985312
11.05,11.102472
8.85,8.763554
44.9,44.944477
14.25,16.014008
13.95,14.553669
36.7,34.69935
34.05,34.133343
8.550000191,8.8026285
8.75,8.523195
37.34999847,36.881054
40.20000076,36.81653
17.15,15.663527
8.85,8.567418
34.04999924,31.321125
7.75,7.6954484
11.15,11.0315695
8.8,8.814673
9.85,9.279802
4.1,5.749473
18.64999962,13.971717
8.8,9.3629055
14.3,13.599802
8.8,8.717952
8.3,9.094801
29.70000076,29.31778
14.0,13.634334
12.8,12.682136
31.95000076,30.631218
13.5,12.714904
13.9,13.36923
21.6,23.889893
15.6,14.606445
8.1,8.16112
7.75,7.852948
30.95000076,32.791584
7.75,7.548011
11.45,11.393113
5.25,6.5736284
7.75,7.710018
